claim_id,claim_text,prompt
499,Vaccination must be made compulsory,"What do you think about the following claim? Claim: ""Vaccination must be made compulsory"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
167,Male infant circumcision is tantamount to child abuse,"What do you think about the following claim? Claim: ""Male infant circumcision is tantamount to child abuse"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
943,School Day Should Be Extended,"What do you think about the following claim? Claim: ""School Day Should Be Extended"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
944,punishment should fit the criminal,"What do you think about the following claim? Claim: ""punishment should fit the criminal"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
621,A government has the obligation to lessen the economic gap between its rich and poor citizens,"What do you think about the following claim? Claim: ""A government has the obligation to lessen the economic gap between its rich and poor citizens"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
873,We Should Question Authorities,"What do you think about the following claim? Claim: ""We Should Question Authorities"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
660,China should be allowed more control over its own seas,"What do you think about the following claim? Claim: ""China should be allowed more control over its own seas"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
299,Islamic State/Daesh is the most significant threat to the west,"What do you think about the following claim? Claim: ""Islamic State/Daesh is the most significant threat to the west"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
629,All patents should be removed on anti-retroviral drugs to fight AIDS,"What do you think about the following claim? Claim: ""All patents should be removed on anti-retroviral drugs to fight AIDS"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
513,Raise The School Leaving Age To 18,"What do you think about the following claim? Claim: ""Raise The School Leaving Age To 18"" Respond with ONLY JSON and no other text - no preamble, no explanation outside the JSON. Give one JSON object per distinct stance you hold on this claim - just one if you see only one side, more if you genuinely see multiple sides. Output the objects directly, one after another - do NOT wrap them in an array. Each object must match exactly this schema: {""stance"": ""support"" or ""undermine"", ""summary"": ""2-3 sentences summarizing the answer in the person's own voice"", ""core_reasoning"": ""1-2 sentences explaining the reasoning behind the answer""} Always output at least one JSON object - never an empty response. Example with two stances: {""stance"": ""support"", ""summary"": ""School uniforms reduce visible inequality among students and simplify mornings for families."", ""core_reasoning"": ""When everyone dresses alike, pressure to display wealth through clothing drops.""} {""stance"": ""undermine"", ""summary"": ""Uniforms suppress student self-expression during formative years."", ""core_reasoning"": ""Clothing choice is a harmless outlet for identity that schools should not remove.""}
"
