claim_id,claim_text,split
499,Vaccination must be made compulsory,dev
167,Male infant circumcision is tantamount to child abuse,train
943,School Day Should Be Extended,test
944,punishment should fit the criminal,train
621,A government has the obligation to lessen the economic gap between its rich and poor citizens,train
873,We Should Question Authorities,train
660,China should be allowed more control over its own seas,train
299,Islamic State/Daesh is the most significant threat to the west,train
629,All patents should be removed on anti-retroviral drugs to fight AIDS,dev
513,Raise The School Leaving Age To 18,test
825,All countries should have the right to pursue a nuclear defence,train
366,We should allow death penalty for the worst of the worst criminals,train
777,Sunbeds should be banned,train
334,The prevalence of ‘African mercenaries’ is decreasing,train
222,We must use Unmanned Aerial Vehicles to strike terrorist targets,train
176,Make all museums free of charge,test
894,"Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports",dev
163,The right to anonymous posting on the internet should be protected by law,train
710,Sports initiations should be banned,test
128,Chess must be at the Olympics,test
843,There should be no permanent members of the UN Security Council,train
636,Persistent Bullies Should be Expelled,dev
311,Everyone should go vegetarian,dev
470,A ‘wall’ on the shared USA and Mexico border would be ineffective,train
711,Britain should scrap the monarchy,train
103,Housewives should be paid for their work,train
973,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,train
314,Remove Bush tax cuts for the wealthy,train
526,‘The Spear’ should have remained on public display.,test
785,Neil Armstrong did actually walk on the Moon,train
288,Federal States are better than unitary nations,test
35,Cannabis should be legalised,train
771,High taxes are necessary for an effective state,dev
701,The Catholic Church needs reform,test
628,We should build new nuclear power plants,dev
91,Israel should recognise the Palestinian right of return,train
435,Britain should give up its EU rebate,train
406,The integration of Africa through the African Union can succeed,train
656,Positive Discrimination Towards Women in Society Is Justified,test
578, College education is worth it,test
704,Accessing your spouse’s email account hacking,dev
886,Taxes on smoothies and fruit juices should be reduced,train
255,Socialism is Dead,test
23,It is crucial to explore the universe,dev
30,The International Criminal Court is a force for good,train
839,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,test
286,Voting should become compulsory,dev
780,Speed limits should be reduced,train
469,Ban junk food from schools,dev
326,Throw Russia out of the G8,train
393,Arming the police is a good idea,train
666,Science can determine human values,dev
88,Arranged marriages in EU countries should be banned.,train
936,There is life after death,test
591,The drinking age should be lowered from 21 to a younger age,dev
592,College football should replace the bowl championship series (BCS),test
993,All drugs should be decriminalised,test
974,Pensions should be privatised,test
145,Parents have to be allowed to monitor their children's online and mobile communications,train
731,The national curriculum should be scrapped,dev
134,You have nothing to worry about surveillance if you have done nothing wrong,test
546,Institute a mandatory retirement age,train
604,Police body cameras should be allowed,train
61,We should restrict violent video games,train
519,The use of animals as objects of sport and entertainment should be banned.,test
20,All nations should ban bullfighting,train
880,Christmas is a scam,train
632,The Falklands should be given back to Argentina,train
768,Increased taxes are good for America,train
792,Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,train
355,Treat the desecration and destruction of high-value sites and property of cultural heritage as a crime against humanity,train
191,Teachers must be banned from interacting with students via social networking websites.,dev
802,Developed Countries Should Accept More Refugees,train
968,"In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.",test
252,We must hold all U.S. presidential primaries on the same day,train
664,We should allow military recruiting in schools,dev
773,Make-up is bad for us,dev
327,It is a good idea to lease Crimea to Russia,train
662,Children should be allowed to have facebook accounts,train
248,We must support the use of truth and reconciliation commissions,test
234,Puerto Rico should seek American statehood,test
189,It is crucial to support the development of a missile defence system,train
121,South Africa should host an Olympics,train
996,There is a good case for stating that there is a God,test
379,It is fine to do random drug-testing in schools,dev
818,The law on self defence should cover ‘grossly disproportionate’ actions,test
480,Tunisia should not rely on tourism for economic growth,train
184,Animal testing should be banned.,test
21,Instant Replay Should Be Used in Major League Baseball,test
952,Online Shopping Is Better Than Offline Shopping,dev
333,Put taxes/revenue from oil into a trust fund independent of politicians influence,train
552,We should encourage building the Hyperloop,train
527,Tennessee is correct to protect teachers who wish to explore the merits of creationism,dev
560,We should make education compulsory to degree level,dev
322,We must have weapons inspectors leave Syria,train
962,Antarctica Should Be Opened Up For Resource Exploitation,test
292,The world has to ignore North Korean provocations,train
474,The Seychelles should buy territory and relocate due to climate change,train
75,Affirmative action is necessary,train
307,Kill One to Save Many,test
842,Prostitution Should Be Legal,dev
175,It is fine to kill one to save many,test
598,School vouchers should be encouraged,dev
965,Polygamous Marriage Should Be Recognised,train
707,Man made climate change is a myth,dev
143,Actively circumventing Internet censorship is a legitimate foreign policy tool,train
958,Language does control thought,train
186,We must colonize moon,train
392,Attorney-client privilege should be abolished,test
616,Companies should provide alternative interview methods,test
797,Fast Food Advertising Should Be Banned,train
413,Africa is really rising,test
796,Lack of Parental Guidance Is Mainly Responsible for Children Being Violent and Aggressive in School,train
396,Sanctions should be used to promote democracy,test
18,Goal line technology has to be adopted in football,dev
428,We should expand NATO,train
400,The world should re-engage with Myanmar,train
784,Those affected by climate change should get compensation,test
584,Tablets should replace textbooks in K-12 schools,train
457,Provide breakfast for all school students,dev
166,We have to consider a large scale cyber attack an act of war,dev
108,The age of consent laws should be lowered,train
303,It is a good idea to have a system of  participatory democracy,test
130,Subsidise the translation of academic work in the languages of developing countries,train
906,Technological advancement promotes materialistic society,dev
378,A legal qualification is worth the cost,train
414,Create an international treaty/ban on cyber-attacks,train
214,We have to employ mercenaries,test
466,Receiving multiple vaccines are safe,train
69,Western democracies should openly try to circumvent Internet censorship in oppressive regimes,train
83,Gender quotas in the EU are advantageous for the economies of member states,dev
