claim_id,perspective_id,text,stance
499,3695,It is the state’s duty to protect its community ,support
499,24076,The state must keep it's community safe.,support
499,24077,The safety of the community is the state's priority.,support
499,3698,Compulsory vaccination violates the individuals’ right to bodily integrity,undermine
499,24082,Individuals have the right to refuse vaccinations.,undermine
499,24083,"People's bodies are there own, and they have the right to refuse to be vaccinated.",undermine
499,3697,Compulsory vaccines are a financial relief on the health system  ,support
499,24080,The impacts of unvaccinated populations stain the financial resources of the healthcare system.,support
499,24081,A fully vaccinated population lesses the financial stress of the health system.,support
499,3696,Duty to protect the child,support
499,24078,Children must be protected.,support
499,24079,It is the duty of the state to protect children.,support
499,3699,It is a parental right to decide about vaccinations for a child,undermine
499,24084,Parents have the right to make the decision about vaccinations for their children.,undermine
499,24085,"By making vaccinations mandatory, it takes away the rights of the parent.",undermine
499,3700,Vaccines have severe side effects ,undermine
167,1242,"Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child ",undermine
167,21983,Parents know what best for thier child ,undermine
167,21984,Parents have the right to make the decisions for their child,undermine
943,7579,Lessons would feel less broken.,support
943,7583,Not enough fundng...,undermine
943,7581,So much easier for parents!,support
943,7578,Less need for homework.,support
943,7580,Time to finish activities,support
944,7584,It will cause less re-offenders.,support
944,26958,Adequate punishment reduces future offenses.,support
944,26959,Just punishment will lead to less criminals re-offending. ,support
944,7587,The onus should not be on punishing the criminal.,undermine
944,26962,Punishment should not be the primary focus.,undermine
944,26963,Our  main goal should not be punishing the criminal. ,undermine
621,5143,True individual freedom cannot exist without economic security and independence,support
621,26481,The wealth gap does not allow for equality between the rich and the poor and so it should be reduced.,support
621,26482,Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.,support
621,6653,Wealth gap undermines equality of opportunity; reducing it makes society fairer.,support
621,5142,The Rich Poor Gap Silences the Political Voice of the Poor,support
873,7089,Why is the authority figure there?,support
660,5487,Sovereignty of the Seas,support
660,25819,China should have freedom of the seas.,support
299,2213,Daesh and the Syrian civil war is nurture terrorism for export ,support
299,2214,There are other larger threats.,undermine
299,23007,More significant threats than the Islamic State exist for the west.,undermine
299,23008,The Islamic State is not the biggest concern for the western world.,undermine
299,23009,There are more important threats to focus on,undermine
299,2216,The west is insulated by distance from Daesh,undermine
629,5215,Patents on ARVs prevent drug companies from collaborating in the search for a cure for AIDS,support
513,24183,With more education comes more opportunities,support
513,3724,More Education Brings More Opportunities,support
513,24180,The more education you have the more opportunities,support
513,3796,More education brings more opportunities,support
513,24181,Opportunities are influenced by education,support
513,24182,"The longer they are educated, the more opportunities they get",support
513,3798,Raising the school learning age promotes equal opportunities,support
513,3726,Raising the school leaving age promotes equal opportunities,support
513,3801,There are cases where leaving school early is necessary,undermine
513,3799,Forced education achieves little,undermine
513,24187,Little is accomplished when education is forced.,undermine
513,24186,Education that is forced does little.,undermine
513,3727,Forced Education Achieves Little,undermine
513,3800,Not all skills are best learnt in a classroom environment.,undermine
513,24188,Some skills are better learned outside the classroom.,undermine
513,24189,The classroom environment is not ideal for all lessons.,undermine
513,3797,Raising the school-leaving age is a crucial investment in society's future,support
513,24185,A good investment in society would be to raise the school leaving age.,support
513,24184,Society's future depends on raising the school-leaving age.,support
513,3725,Raising the school-leaving age is a crucial investment in society’s future,support
513,4123,The economy of the future requires more education,support
513,24486,"In the future, the economy will rely on those with more education.",support
513,24487,The economy needs educated people in order to do well in the future.,support
513,4120,Society has a moral responsibility to educate all its young people,support
513,24485,Society should make it easier for all young people to receive an education.,support
513,4122,Benefit from the increase in skills through their standard of living,support
513,4124,The aging population and increasing retirement age requires higher skills,support
513,4125,Young people should have the choice to decide for themselves,undermine
513,24488,Young people should have the freedom to make their own choices.,undermine
513,24489,Young people should be able to think for themselves and make their own decisions.,undermine
513,4126,Unrealistically costly,undermine
513,4127,Not everyone is good at studying,undermine
513,24490,Some people are unable to handle the rigor of university-level coursework.,undermine
513,24491,We shouldn't force people to study if they aren't good at it and choose not to.,undermine
513,24492,not everyone is good academically,undermine
513,24493,some people are not good at studying,undermine
513,4129,Compulsory studying would be taking young people out of the workforce,undermine
513,24494,Making university education compulsory would take young people out of the workforce.,undermine
513,24496,some young people would be taken out of workforce by compulsory studying,undermine
513,24497,compulsory studying may remove young people from the workforce,undermine
825,26469,Small countries would be able to pursue their independence without having to rely on larger countries.,support
825,25670,"Disarmament would actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed.",support
825,26470,"Small countries would no longer need the protection of larger ones, so could become more politically independent.",support
825,25671,"Disarmament would actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed.",support
825,5262,"Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed",support
825,6621,Thus the super power model will be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’.,support
825,6620,All the people worldwide have the same rights and are equal to one another. ,support
825,6619,The pursuit of nuclear defence (respectively the possession of nuclear weapons) by more countries is a guarantee for peace. ,support
825,1573,Humanitarian intervention becomes impossible in states that possess nuclear weapons,undermine
825,22362,Humanitarian missions would not be possible in states that have nuclear weapons.,undermine
825,22364,It is very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.,undermine
825,1575,The threat of a state developing nuclear weapons could instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons,undermine
825,22369,Other countries could strike against those developing nuclear weapons to protect themselves.,undermine
825,22370,"To keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike.",undermine
825,22372,The intention of a state to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.,undermine
825,1570,Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally,support
825,1568,Nuclear weapons give states valuable agenda-setting power on the international stage,support
825,22357,Countries with nuclear weapons have the ability to set their own agenda.,support
825,22359,States with nuclear weapons are afforded more authority to set agendas at international levels.,support
825,1566,"All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons",support
825,22353,All states have a right to nuclear self-defense.,support
825,22354,To use  nuclear weapons in defense of the nation is lawful for all countries.,support
825,22355,"countries have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon",support
825,22356,"all countries are entitled to self defense with nuclear weapons, even when they do not have the capacity to carry conventional weapons",support
825,1574,Possessing nuclear weapons will be counter to the peaceful interests of states,undermine
825,1984,Nuclear weapons can fall into the wrong hands.,undermine
825,22727,It's conceivable that the wrong people will have the weapons.,undermine
825,22728,The nukes can end up being used against us.,undermine
825,5255,Terrorists will steal nuclear weapons from poorly guarded arsenals,undermine
825,1986,[Iran specific] Iran has threatened to destroy Israel,undermine
825,22729,Iran has Israel targeted.,undermine
825,1989,No country has an inherent right to invade or use aggression against another.,support
